"Date","Day/Eve","Number 1","Number 2","Number 3","GreenBall","DoubleDraw*"
"03/17/2019","E","1","8","6","",""
"03/16/2019","D","7","2","5","",""
"03/16/2019","E","1","3","2","",""
"03/15/2019","D","3","0","9","",""
"03/15/2019","E","4","2","1","",""
"03/14/2019","D","8","2","7","",""
"03/14/2019","E","6","2","1","",""
"03/13/2019","D","0","4","8","",""
"03/13/2019","E","0","8","8","",""
"03/12/2019","D","0","4","7","",""
"03/12/2019","E","0","4","4","",""
"03/11/2019","D","6","6","4","",""
"03/11/2019","E","0","1","0","",""
"03/10/2019","D","6","8","9","",""
"03/10/2019","E","1","4","2","",""
"03/09/2019","D","3","6","1","",""
"03/09/2019","E","9","6","5","",""
"03/08/2019","D","6","9","4","",""
"03/08/2019","E","7","3","1","",""
"03/07/2019","D","1","5","4","",""
"03/07/2019","E","3","7","0","",""
"03/06/2019","D","3","1","3","",""
"03/06/2019","E","9","9","3","",""
"03/05/2019","D","0","0","9","",""
"03/05/2019","E","1","7","7","",""
"03/04/2019","D","1","5","1","",""
"03/04/2019","E","5","9","5","",""
"03/03/2019","D","9","2","0","",""
"03/03/2019","E","4","7","7","",""
"03/02/2019","D","7","7","9","",""
"03/02/2019","E","5","6","7","",""
"03/01/2019","D","5","2","8","",""
"03/01/2019","E","2","8","1","",""
"02/28/2019","D","5","4","0","",""
"02/28/2019","E","2","2","2","","W"
"02/27/2019","D","6","8","0","",""
"02/27/2019","E","0","0","0","","R"
"02/27/2019","E","5","7","4","","D"
"02/26/2019","D","1","8","3","",""
"02/26/2019","E","0","1","3","","W"
"02/25/2019","D","1","7","5","",""
"02/25/2019","E","4","6","6","","R"
"02/25/2019","E","8","2","9","","D"
"02/24/2019","D","7","4","7","",""
"02/24/2019","E","4","6","7","","W"
"02/23/2019","D","2","9","2","",""
"02/23/2019","E","4","0","8","","W"
"02/22/2019","D","3","8","0","",""
"02/22/2019","E","8","5","5","","R"
"02/22/2019","E","0","6","7","","D"
"02/21/2019","D","3","4","2","",""
"02/21/2019","E","1","0","1","","W"
"02/20/2019","D","7","1","1","",""
"02/20/2019","E","8","9","9","","W"
"02/19/2019","D","9","9","3","",""
"02/19/2019","E","9","0","9","","R"
"02/19/2019","E","8","5","3","","D"
"02/18/2019","D","9","3","8","",""
"02/18/2019","E","1","7","0","","W"
"02/17/2019","D","3","6","2","",""
"02/17/2019","E","1","6","7","","W"
"02/16/2019","D","4","2","8","",""
"02/16/2019","E","4","3","6","","W"
"02/15/2019","D","6","2","7","",""
"02/15/2019","E","7","5","9","","W"
"02/14/2019","D","0","7","4","",""
"02/14/2019","E","6","8","8","","W"
"02/13/2019","D","6","0","7","",""
"02/13/2019","E","3","9","3","","W"
"02/12/2019","D","0","3","8","",""
"02/12/2019","E","9","4","3","","R"
"02/12/2019","E","4","1","7","","D"
"02/11/2019","D","5","9","1","",""
"02/11/2019","E","5","3","5","","W"
"02/10/2019","D","0","1","7","",""
"02/10/2019","E","6","8","2","","R"
"02/10/2019","E","3","8","4","","D"
"02/09/2019","D","7","5","3","",""
"02/09/2019","E","0","0","3","","R"
"02/09/2019","E","8","6","4","","D"
"02/08/2019","D","9","7","8","",""
"02/08/2019","E","4","9","6","","W"
"02/07/2019","D","4","4","4","",""
"02/07/2019","E","0","1","2","","W"
"02/06/2019","D","9","1","2","",""
"02/06/2019","E","1","1","1","","R"
"02/06/2019","E","5","3","0","","D"
"02/05/2019","D","7","8","3","",""
"02/05/2019","E","3","1","9","","R"
"02/05/2019","E","1","1","8","","D"
"02/04/2019","D","7","1","6","",""
"02/04/2019","E","5","8","2","","R"
"02/04/2019","E","2","4","4","","D"
"02/03/2019","D","5","7","6","",""
"02/03/2019","E","2","9","0","","W"
"02/02/2019","D","2","8","2","",""
"02/02/2019","E","1","3","9","","W"
"02/01/2019","D","0","5","1","",""
"02/01/2019","E","8","3","2","","R"
"02/01/2019","E","9","9","8","","D"
"01/31/2019","D","9","0","9","",""
"01/31/2019","E","4","8","0","",""
"01/30/2019","D","6","9","2","",""
"01/30/2019","E","9","5","5","",""
"01/29/2019","D","4","2","3","",""
"01/29/2019","E","6","6","9","",""
"01/28/2019","D","1","4","3","",""
"01/28/2019","E","1","8","8","",""
"01/27/2019","D","1","7","0","",""
"01/27/2019","E","8","4","8","",""
"01/26/2019","D","4","9","8","",""
"01/26/2019","E","5","9","3","",""
"01/25/2019","D","4","3","0","",""
"01/25/2019","E","4","7","9","",""
"01/24/2019","D","9","5","3","",""
"01/24/2019","E","4","6","1","",""
"01/23/2019","D","2","9","8","",""
"01/23/2019","E","7","7","5","",""
"01/22/2019","D","6","5","7","",""
"01/22/2019","E","8","7","1","",""
"01/21/2019","D","4","5","3","",""
"01/21/2019","E","2","9","4","",""
"01/20/2019","D","2","0","1","",""
"01/20/2019","E","3","0","4","",""
"01/19/2019","D","7","7","6","",""
"01/19/2019","E","6","6","2","",""
"01/18/2019","D","7","8","6","",""
"01/18/2019","E","3","6","1","",""
"01/17/2019","D","7","3","7","",""
"01/17/2019","E","9","6","2","",""
"01/16/2019","D","0","9","3","",""
"01/16/2019","E","6","1","8","",""
"01/15/2019","D","4","1","1","",""
"01/15/2019","E","3","2","9","",""
"01/14/2019","D","0","3","7","",""
"01/14/2019","E","1","2","4","",""
"01/13/2019","D","7","7","3","",""
"01/13/2019","E","8","9","9","",""
"01/12/2019","D","0","0","1","",""
"01/12/2019","E","9","8","7","",""
"01/11/2019","D","6","6","2","",""
"01/11/2019","E","8","3","4","",""
"01/10/2019","D","6","1","0","",""
"01/10/2019","E","5","5","2","",""
"01/09/2019","D","0","5","8","",""
"01/09/2019","E","2","0","6","",""
"01/08/2019","D","2","7","3","",""
"01/08/2019","E","2","3","9","",""
"01/07/2019","D","4","8","6","",""
"01/07/2019","E","1","1","7","",""
"01/06/2019","D","5","2","6","",""
"01/06/2019","E","4","4","0","",""
"01/05/2019","D","8","3","7","",""
"01/05/2019","E","1","6","0","",""
"01/04/2019","D","2","3","1","",""
"01/04/2019","E","4","0","9","",""
"01/03/2019","D","4","2","9","",""
"01/03/2019","E","1","2","1","",""
"01/02/2019","D","3","9","3","",""
"01/02/2019","E","3","3","3","",""
"01/01/2019","D","2","5","5","",""
"01/01/2019","E","3","4","3","",""
"12/31/2018","D","6","9","4","",""
"12/31/2018","E","4","4","6","",""
"12/30/2018","D","5","2","8","",""
"12/30/2018","E","3","1","8","",""
"12/29/2018","D","3","7","0","",""
"12/29/2018","E","3","8","0","",""
"12/28/2018","D","1","9","8","",""
"12/28/2018","E","2","1","0","",""
"12/27/2018","D","4","1","7","",""
"12/27/2018","E","3","5","9","",""
"12/26/2018","D","6","7","2","",""
"12/26/2018","E","8","8","8","",""
"12/25/2018","D","6","6","1","",""
"12/25/2018","E","8","3","1","",""
"12/24/2018","D","1","9","9","",""
"12/24/2018","E","5","9","6","",""
"12/23/2018","D","0","9","8","",""
"12/23/2018","E","6","2","5","",""
"12/22/2018","D","5","8","4","",""
"12/22/2018","E","2","7","0","",""
"12/21/2018","D","4","0","1","",""
"12/21/2018","E","9","2","2","",""
"12/20/2018","D","4","1","8","",""
"12/20/2018","E","1","8","9","",""
"12/19/2018","D","0","3","1","",""
"12/19/2018","E","4","7","3","",""
"12/18/2018","D","8","6","0","",""
"12/18/2018","E","1","2","3","",""
"12/17/2018","D","4","3","3","",""
"12/17/2018","E","3","2","2","",""
"12/16/2018","D","0","4","0","",""
"12/16/2018","E","2","5","3","",""
"12/15/2018","D","4","0","4","",""
"12/15/2018","E","2","2","2","",""
"12/14/2018","D","2","5","2","",""
"12/14/2018","E","6","6","9","",""
"12/13/2018","D","3","2","5","",""
"12/13/2018","E","3","1","9","",""
"12/12/2018","D","6","0","2","",""
"12/12/2018","E","6","4","9","",""
"12/11/2018","D","2","4","4","",""
"12/11/2018","E","8","5","2","",""
"12/10/2018","D","3","3","6","",""
"12/10/2018","E","7","7","2","",""
"12/09/2018","D","6","1","9","",""
"12/09/2018","E","0","1","5","",""
"12/08/2018","D","8","4","5","",""
"12/08/2018","E","0","1","1","",""
"12/07/2018","D","8","0","6","",""
"12/07/2018","E","8","2","1","",""
"12/06/2018","D","6","6","7","",""
"12/06/2018","E","4","6","0","",""
"12/05/2018","D","6","4","1","",""
"12/05/2018","E","4","0","2","",""
"12/04/2018","D","1","2","3","",""
"12/04/2018","E","8","4","2","",""
"12/03/2018","D","3","2","9","",""
"12/03/2018","E","0","0","8","",""
"12/02/2018","D","3","0","2","",""
"12/02/2018","E","9","3","4","",""
"12/01/2018","D","3","9","7","",""
"12/01/2018","E","3","0","8","",""
"11/30/2018","D","0","4","2","",""
"11/30/2018","E","3","9","3","",""
"11/29/2018","D","3","6","3","",""
"11/29/2018","E","2","9","9","",""
"11/28/2018","D","9","1","2","",""
"11/28/2018","E","5","8","0","",""
"11/27/2018","D","9","7","2","",""
"11/27/2018","E","0","1","2","",""
"11/26/2018","D","4","4","6","",""
"11/26/2018","E","4","2","0","",""
"11/25/2018","D","3","7","1","",""
"11/25/2018","E","6","1","7","",""
"11/24/2018","D","5","9","6","",""
"11/24/2018","E","9","3","7","",""
"11/23/2018","D","9","2","0","",""
"11/23/2018","E","4","7","8","",""
"11/22/2018","D","9","1","8","",""
"11/22/2018","E","6","3","3","",""
"11/21/2018","D","0","8","7","",""
"11/21/2018","E","2","8","5","",""
"11/20/2018","D","5","6","0","",""
"11/20/2018","E","9","8","2","",""
"11/19/2018","D","9","8","4","",""
"11/19/2018","E","1","6","8","",""
"11/18/2018","D","2","7","3","",""
"11/18/2018","E","1","2","9","",""
"11/17/2018","D","7","7","3","",""
"11/17/2018","E","3","9","5","",""
"11/16/2018","D","5","9","8","",""
"11/16/2018","E","3","9","0","",""
"11/15/2018","D","5","1","3","",""
"11/15/2018","E","5","3","8","",""
"11/14/2018","D","5","0","4","",""
"11/14/2018","E","6","7","4","",""
"11/13/2018","D","1","0","7","",""
"11/13/2018","E","6","9","6","",""
"11/12/2018","D","9","8","2","",""
"11/12/2018","E","6","9","3","",""
"11/11/2018","D","0","9","6","",""
"11/11/2018","E","2","9","4","",""
"11/10/2018","D","5","4","3","",""
"11/10/2018","E","7","8","7","",""
"11/09/2018","D","1","8","6","",""
"11/09/2018","E","0","4","4","",""
"11/08/2018","D","0","3","6","",""
"11/08/2018","E","2","4","5","",""
"11/07/2018","D","6","6","5","",""
"11/07/2018","E","6","8","7","",""
"11/06/2018","D","4","7","3","",""
"11/06/2018","E","0","6","4","",""
"11/05/2018","D","0","6","5","",""
"11/05/2018","E","4","1","3","",""
"11/04/2018","D","4","6","8","",""
"11/04/2018","E","1","3","0","",""
"11/03/2018","D","6","6","7","",""
"11/03/2018","E","3","7","1","",""
"11/02/2018","D","1","7","0","",""
"11/02/2018","E","5","1","8","",""
"11/01/2018","D","5","9","1","",""
"11/01/2018","E","6","9","4","",""
"10/31/2018","D","5","3","2","",""
"10/31/2018","E","1","1","4","",""
"10/30/2018","D","7","6","0","",""
"10/30/2018","E","4","5","3","",""
"10/29/2018","D","3","2","0","",""
"10/29/2018","E","8","9","6","",""
"10/28/2018","D","9","6","3","",""
"10/28/2018","E","5","3","5","",""
"10/27/2018","D","3","9","4","",""
"10/27/2018","E","4","2","1","",""
"10/26/2018","D","6","8","7","",""
"10/26/2018","E","4","0","8","",""
"10/25/2018","D","9","9","0","",""
"10/25/2018","E","9","0","6","",""
"10/24/2018","D","0","8","4","",""
"10/24/2018","E","9","4","5","",""
"10/23/2018","D","1","3","6","",""
"10/23/2018","E","7","9","7","",""
"10/22/2018","D","6","1","6","",""
"10/22/2018","E","5","4","1","",""
"10/21/2018","D","7","5","3","",""
"10/21/2018","E","5","0","1","",""
"10/20/2018","D","4","8","3","",""
"10/20/2018","E","8","7","0","",""
"10/19/2018","D","2","6","7","",""
"10/19/2018","E","1","0","0","",""
"10/18/2018","D","2","9","4","",""
"10/18/2018","E","0","5","9","",""
"10/17/2018","D","5","2","3","",""
"10/17/2018","E","7","4","1","",""
"10/16/2018","D","4","0","4","",""
"10/16/2018","E","6","0","8","",""
"10/15/2018","D","3","1","1","",""
"10/15/2018","E","2","9","0","",""
"10/14/2018","D","3","6","6","",""
"10/14/2018","E","1","8","9","",""
"10/13/2018","D","5","3","2","",""
"10/13/2018","E","3","3","2","",""
"10/12/2018","D","8","2","8","",""
"10/12/2018","E","3","2","2","",""
"10/11/2018","D","3","1","8","",""
"10/11/2018","E","4","7","4","",""
"10/10/2018","D","9","8","1","",""
"10/10/2018","E","1","3","6","",""
"10/09/2018","D","3","1","4","",""
"10/09/2018","E","0","5","4","",""
"10/08/2018","D","7","0","6","",""
"10/08/2018","E","5","4","9","",""
"10/07/2018","D","1","3","9","",""
"10/07/2018","E","9","4","8","",""
"10/06/2018","D","9","3","4","",""
"10/06/2018","E","1","7","9","",""
"10/05/2018","D","5","7","4","",""
"10/05/2018","E","3","6","3","",""
